item,itemLabel,LIMA_media_artist_ID
http://www.wikidata.org/entity/Q11300527,Sophie Whettnall,8382
http://www.wikidata.org/entity/Q3084333,François Curlet,13778
http://www.wikidata.org/entity/Q7119408,PINK de Thierry,1796
http://www.wikidata.org/entity/Q97397102,Bert Schutter,2010
http://www.wikidata.org/entity/Q97397525,René Beekman,7
http://www.wikidata.org/entity/Q97397061,Joke Robaard,3959
http://www.wikidata.org/entity/Q97396900,Adriaan Nette,1659
http://www.wikidata.org/entity/Q7178627,Petra Cortright,17076
http://www.wikidata.org/entity/Q19727175,Manon de Boer,14435
http://www.wikidata.org/entity/Q19802627,Júlia Ventura,3815
http://www.wikidata.org/entity/Q3305059,Melik Ohanian,13770
http://www.wikidata.org/entity/Q7449380,Semiconductor,13646
http://www.wikidata.org/entity/Q6774612,Martha Wilson,2424
http://www.wikidata.org/entity/Q64778546,Adad Hannah,12021
http://www.wikidata.org/entity/Q15881857,Servaas Schoone,2022
http://www.wikidata.org/entity/Q24262352,Hank Bull,4996
http://www.wikidata.org/entity/Q106619605,Dan Geesin & Esther Rots,8459
http://www.wikidata.org/entity/Q106619693,Simon Biggs,10
http://www.wikidata.org/entity/Q106619716,Lous America,317
http://www.wikidata.org/entity/Q106619631,Martijn van Boven & Tom Tlalim,16367
http://www.wikidata.org/entity/Q106619630,Jan Fabre & Marina Abramovic,16324
http://www.wikidata.org/entity/Q106619641,Anika Schwarzlose & Brian D McKenna,17000
http://www.wikidata.org/entity/Q106619589,A.P. Komen & Karen Murphy,1308
http://www.wikidata.org/entity/Q106619618,Arno Coenen & Peter Leeuwerink,13970
http://www.wikidata.org/entity/Q106619617,Alice Kok & Pascal Lièvre,13968
http://www.wikidata.org/entity/Q106619610,Ian Nichols & Piet Dirkx,13469
http://www.wikidata.org/entity/Q106619607,Benny Nemerofsky Ramsay & Pascal Lièvre,13303
http://www.wikidata.org/entity/Q52605387,Karen Vanderborght,6137
http://www.wikidata.org/entity/Q98098740,Jorgen Leijenaar,15948
http://www.wikidata.org/entity/Q28792372,Anna Winteler,4102
http://www.wikidata.org/entity/Q28792366,Anika Schwarzlose,16998
http://www.wikidata.org/entity/Q243078,Alison Knowles,3809
http://www.wikidata.org/entity/Q267559,Eija-Liisa Ahtila,6588
http://www.wikidata.org/entity/Q273696,Mona Hatoum,3891
http://www.wikidata.org/entity/Q313991,Peter Weibel,2376
http://www.wikidata.org/entity/Q65426374,Christine Koenigs,1289
http://www.wikidata.org/entity/Q343893,Avi Mograbi,13931
http://www.wikidata.org/entity/Q20752585,Pedro Garhel,868
http://www.wikidata.org/entity/Q388005,Cosima von Bonin,17068
http://www.wikidata.org/entity/Q433471,Vito Hannibal Acconci,3739
http://www.wikidata.org/entity/Q495290,Andrea Zittel,16934
http://www.wikidata.org/entity/Q541526,Bob Wilson,3732
http://www.wikidata.org/entity/Q543440,Ulrich Rueckriem,3836
http://www.wikidata.org/entity/Q20976890,Anna Jermolaewa,15914
http://www.wikidata.org/entity/Q21552946,Richard Hefti,1022
http://www.wikidata.org/entity/Q29413549,Gerard Wernars,15926
http://www.wikidata.org/entity/Q4545156,Nicolas Provost,9506
http://www.wikidata.org/entity/Q65970795,Celio Braga,15910
http://www.wikidata.org/entity/Q90724494,Paul Landon,3874
http://www.wikidata.org/entity/Q936935,Johan van der Keuken,1248
http://www.wikidata.org/entity/Q952233,David Wojnarowicz,15927
http://www.wikidata.org/entity/Q21469874,Jennifer Tee,9199
http://www.wikidata.org/entity/Q989861,Rirkrit Tiravanija,13776
http://www.wikidata.org/entity/Q21545004,Robbie Cornelissen,13476
http://www.wikidata.org/entity/Q1085745,Christoph Rütimann,12597
http://www.wikidata.org/entity/Q1098459,Klaus Böhmler,3806
http://www.wikidata.org/entity/Q9096584,Xavier Villaverde,3893
http://www.wikidata.org/entity/Q1241051,Erwin Olaf,9628
http://www.wikidata.org/entity/Q95321034,Harald Ortlieb,6633
http://www.wikidata.org/entity/Q1282036,VPRO,9990
http://www.wikidata.org/entity/Q95344858,Knut Gerwers,27
http://www.wikidata.org/entity/Q5230889,David Askevold,3790
http://www.wikidata.org/entity/Q13574446,Driessens & Verstappen,8938
http://www.wikidata.org/entity/Q5301405,Douglas Davis,3747
http://www.wikidata.org/entity/Q1418219,Jean-François Guiton,32
http://www.wikidata.org/entity/Q1575380,Hanery Amman,7415
http://www.wikidata.org/entity/Q43380471,Michael Morris,3797
http://www.wikidata.org/entity/Q1715360,Jorg Herold,14033
http://www.wikidata.org/entity/Q55282,Peter Greenaway,4144
http://www.wikidata.org/entity/Q1907680,Barbara Visser,7838
http://www.wikidata.org/entity/Q1926163,Mevis & Van Deursen,15919
http://www.wikidata.org/entity/Q2020501,Oliver Ressler,17138
http://www.wikidata.org/entity/Q5980440,Iain Forsyth en Jane Pollard,13486
http://www.wikidata.org/entity/Q2077879,Peter Roehr,4274
http://www.wikidata.org/entity/Q18508635,Rossella Biscotti,16205
http://www.wikidata.org/entity/Q84056519,Jan van Nuenen,10777
http://www.wikidata.org/entity/Q6055998,Gülsün Karamustafa,13782
http://www.wikidata.org/entity/Q2201564,Hans van der Meer,13559
http://www.wikidata.org/entity/Q2204202,Eboman,15911
http://www.wikidata.org/entity/Q2190887,Micha Klein,11388
http://www.wikidata.org/entity/Q105092922,Antonello Faretta,13730
http://www.wikidata.org/entity/Q55236291,Oliver Laric,14305
http://www.wikidata.org/entity/Q2637678,David Salle,3773
http://www.wikidata.org/entity/Q2586677,Giny Vos,2330
http://www.wikidata.org/entity/Q2606349,Rob Johannesma,13167
http://www.wikidata.org/entity/Q1320628,Suchan Kinoshita,15803
http://www.wikidata.org/entity/Q1823675,Lidwien van de Ven,15076
http://www.wikidata.org/entity/Q1442795,Qiu Zhijie,17136
http://www.wikidata.org/entity/Q1460607,Friedrich Kunath,13753
http://www.wikidata.org/entity/Q22237655,Roy Villevoye,12066
http://www.wikidata.org/entity/Q22237489,Tiong Ang,9161
http://www.wikidata.org/entity/Q55236395,Sean Snyder,15109
http://www.wikidata.org/entity/Q50505601,Cornelia Wyngaarden,4331
http://www.wikidata.org/entity/Q5659017,Harm van den Dorpel,14314
http://www.wikidata.org/entity/Q1903807,Michiel van Bakel,7804
http://www.wikidata.org/entity/Q26877286,Frederieke Jochems,1194
http://www.wikidata.org/entity/Q106619851,Peter Hesseldahl,3873
http://www.wikidata.org/entity/Q2080401,Rogier Proper,3930
http://www.wikidata.org/entity/Q18560540,Lon Robbé,15818
http://www.wikidata.org/entity/Q27042918,Vincent Meessen,15290
http://www.wikidata.org/entity/Q55218948,Michal Shabtay,67
http://www.wikidata.org/entity/Q55236190,Martijn Hendriks,15143
http://www.wikidata.org/entity/Q106619752,Thomas Mohr,1596
http://www.wikidata.org/entity/Q23060814,Gusztav Hamos,3637
http://www.wikidata.org/entity/Q2378116,Vuk Ćosić,17078
http://www.wikidata.org/entity/Q55403000,Nigel Rolfe,3826
http://www.wikidata.org/entity/Q2419755,Fiona Tan,71
http://www.wikidata.org/entity/Q2422230,Gerard Hadders,15944
http://www.wikidata.org/entity/Q2520789,Alan Sonfist,3775
http://www.wikidata.org/entity/Q2604704,Walter Verdin,77
http://www.wikidata.org/entity/Q2753903,Roderick Hietbrink,16958
http://www.wikidata.org/entity/Q19299313,Ron Hays,3640
http://www.wikidata.org/entity/Q35828924,Corinna Schnitt,10556
http://www.wikidata.org/entity/Q2780603,Joost Conijn,8942
http://www.wikidata.org/entity/Q106619751,Norbert Meissner,1562
